Name,Price,Quantity
Muffin - Banana Nut Individual,89,1
Coriander - Seed,92,2
Sausage - Liver,10,3
"Juice - Apple, 341 Ml",79,4
Oil - Safflower,47,5
Cleaner - Comet,11,6
"Wine - Red, Antinori Santa",33,7
Table Cloth 91x91 Colour,38,8
Capers - Pickled,52,9
Tuna - Fresh,54,10
Squid Ink,15,11
Bagelers,89,12
"Veal - Tenderloin, Untrimmed",85,13
"Capon - Breast, Wing On",38,14
"Doilies - 10, Paper",6,15
Lettuce - Treviso,32,16
Amaretto,65,17
Pork - Back Ribs,77,18
Chocolate - Semi Sweet,48,19
"Turkey - Breast, Boneless Sk On",99,20
Soup - Verve - Chipotle Chicken,50,21
Magnotta - Bel Paese White,92,22
Spice - Greek 1 Step,94,23
Cheese - Parmesan Grated,82,24
Beef - Prime Rib Aaa,81,25
"Salmon - Atlantic, No Skin",63,26
Bread - Dark Rye,43,27
Octopus,19,28
Smoked Paprika,87,29
Ham Black Forest,6,30
Bouillion - Fish,2,31
Sachet,17,32
Sauce - Balsamic Viniagrette,82,33
Beef - Top Sirloin - Aaa,14,34
Sole - Fillet,18,35
Chips - Miss Vickies,82,36
Bread - 10 Grain,77,37
Mackerel Whole Fresh,58,38
Vodka - Moskovskaya,28,39
Wine - Vidal Icewine Magnotta,63,40
Squash - Butternut,95,41
Pastry - Apple Large,12,42
"Napkin - Beverge, White 2 - Ply",44,43
Wine - Alsace Gewurztraminer,61,44
Cattail Hearts,54,45
Devonshire Cream,93,46
Salmon Steak - Cohoe 8 Oz,26,47
Sage - Fresh,34,48
"Oil - Olive, Extra Virgin",62,49
Sobe - Berry Energy,20,50
Sachet,60,51
Filling - Mince Meat,20,52
Paste - Black Olive,17,53
Cheese - Roquefort Pappillon,90,54
Gherkin - Sour,8,55
Food Colouring - Orange,90,56
"Pork - Sausage, Medium",87,57
Cheese - Goat,20,58
Juice - Ocean Spray Kiwi,10,59
Horseradish Root,62,60
Flavouring Vanilla Artificial,39,61
Beets - Pickled,25,62
Maintenance Removal Charge,100,63
Breadfruit,56,64
"Soup - Beef, Base Mix",58,65
Soup - Cream Of Broccoli,15,66
Aspic - Clear,53,67
Beans - Fava Fresh,91,68
Flour - Semolina,70,69
Gooseberry,76,70
Apricots - Halves,65,71
Wine - Prosecco Valdobiaddene,11,72
Pepper - Chilli Seeds Mild,20,73
Goat - Whole Cut,79,74
The Pop Shoppe - Root Beer,100,75
Wine - Lou Black Shiraz,19,76
Carbonated Water - Lemon Lime,76,77
"Lemonade - Strawberry, 591 Ml",13,78
Containter - 3oz Microwave Rect.,65,79
Salmon Atl.whole 8 - 10 Lb,11,80
Cheese - St. Paulin,91,81
Mikes Hard Lemonade,55,82
Steam Pan Full Lid,22,83
"Juice - Orange, 341 Ml",9,84
Potatoes - Mini Red,58,85
Juice - Lime,26,86
Mushroom - Porcini Frozen,20,87
Pur Source,66,88
Wine - Malbec Trapiche Reserve,20,89
"Salmon - Whole, 4 - 6 Pounds",71,90
Graham Cracker Mix,14,91
"Wine - White, Schroder And Schyl",62,92
Tofu - Firm,44,93
"Beef - Roasted, Cooked",77,94
Cheese - Comtomme,7,95
Pork Loin Bine - In Frenched,21,96
Yoghurt Tubes,73,97
Mussels - Cultivated,35,98
Foam Tray S2,85,99
"Soup - Knorr, Country Bean",98,100
Smoked Tongue,38,101
Kohlrabi,9,102
Shrimp - Tiger 21/25,22,103
Sugar - Brown,11,104
Soup Campbells Split Pea And Ham,70,105
Energy Drink - Franks Pineapple,49,106
Energy Drink Red Bull,71,107
Coffee - Dark Roast,80,108
Dawn Professionl Pot And Pan,60,109
Ostrich - Fan Fillet,45,110
"Rice Pilaf, Dry,package",91,111
Canadian Emmenthal,98,112
Appetizer - Mango Chevre,82,113
Pork - Shoulder,88,114
Roe - Flying Fish,80,115
Pie Shells 10,45,116
Nutmeg - Ground,76,117
Rice - Jasmine Sented,95,118
Ham - Cooked Italian,51,119
Soup - Campbellschix Stew,45,120
Salmon Atl.whole 8 - 10 Lb,92,121
Table Cloth 53x69 White,23,122
Vinegar - Sherry,26,123
"Pork - Tenderloin, Frozen",92,124
Milk 2% 500 Ml,90,125
Calypso - Lemonade,62,126
Flour - Strong,28,127
Tofu - Firm,36,128
Soup Campbells,39,129
Wine - Chablis 2003 Champs,78,130
"Soup - Campbells, Chix Gumbo",80,131
Muffin Hinge Container 6,64,132
Calypso - Lemonade,21,133
Pastry - Banana Muffin - Mini,59,134
Creme De Menthe Green,7,135
Buffalo - Striploin,77,136
Pepper - Green,59,137
Cinnamon Rolls,81,138
Nantucket - Pomegranate Pear,45,139
Sauce - Hollandaise,44,140
Rhubarb,22,141
Wine - Chardonnay Mondavi,44,142
"Bread - Pumpernickle, Rounds",98,143
"Corn - Cream, Canned",61,144
Bread Base - Gold Formel,16,145
"Pepper - Julienne, Frozen",81,146
Containter - 3oz Microwave Rect.,28,147
Wine - Magnotta - Pinot Gris Sr,100,148
Eggplant - Baby,81,149
"Sugar - Sweet N Low, Individual",20,150
Tobasco Sauce,4,151
Pur Source,5,152
Cheese - Swiss,45,153
Energy Drink - Redbull 355ml,76,154
Bagelers,56,155
"Tortillas - Flour, 10",42,156
Garlic,84,157
Cheese - La Sauvagine,38,158
Crackers - Soda / Saltins,63,159
Oil - Safflower,47,160
Potatoes - Peeled,5,161
Pork - Bacon Cooked Slcd,41,162
"Iced Tea - Lemon, 340ml",95,163
Corn Shoots,56,164
Tea - Lemon Green Tea,6,165
Pasta - Angel Hair,64,166
Chinese Foods - Thick Noodles,37,167
Sobe - Cranberry Grapefruit,95,168
"Garlic - Primerba, Paste",79,169
Cup - Paper 10oz 92959,23,170
Scallop - St. Jaques,3,171
Soho Lychee Liqueur,25,172
"Syrup - Monin, Amaretta",43,173
Irish Cream - Butterscotch,97,174
"Doilies - 8, Paper",69,175
Beer - Fruli,38,176
Kolrabi,49,177
Barramundi,25,178
Wine - Port Late Bottled Vintage,17,179
"Seedlings - Buckwheat, Organic",22,180
Beer - Camerons Cream Ale,77,181
Caviar - Salmon,89,182
Lid Coffee Cup 8oz Blk,47,183
Guinea Fowl,52,184
"Bread - Roll, Whole Wheat",69,185
Cookie Dough - Peanut Butter,56,186
"Soup - Beef, Base Mix",75,187
"Cheese - Mozzarella, Buffalo",94,188
Persimmons,73,189
Corn Syrup,66,190
Bagelers,8,191
Glucose,24,192
Bread - French Stick,42,193
Mushroom - Chanterelle Frozen,15,194
Shiratamako - Rice Flour,46,195
Alize Gold Passion,66,196
Cheese - St. Andre,88,197
Pickles - Gherkins,86,198
Wine - Rioja Campo Viejo,13,199
Tea - Herbal Sweet Dreams,31,200
Aspic - Amber,35,201
Bread - Pain Au Liat X12,74,202
Soup - Verve - Chipotle Chicken,48,203
Paper - Brown Paper Mini Cups,19,204
Tea - Mint,5,205
Tomatoes - Grape,44,206
Scampi Tail,88,207
Wine - Two Oceans Sauvignon,85,208
Mikes Hard Lemonade,10,209
"Beans - Fava, Canned",80,210
Green Scrubbie Pad H.duty,49,211
"Beef - Bones, Cut - Up",7,212
Chinese Foods - Chicken,38,213
Potatoes - Idaho 80 Count,21,214
Longos - Penne With Pesto,77,215
Island Oasis - Pina Colada,59,216
Bread Bowl Plain,8,217
Puff Pastry - Slab,44,218
"Corn - Cream, Canned",87,219
"Bread - Pita, Mini",88,220
Dried Cherries,56,221
Worcestershire Sauce,97,222
Chocolate - Compound Coating,58,223
Wine - Shiraz South Eastern,67,224
Beer - Muskoka Cream Ale,30,225
"Soup - Campbells, Creamy",54,226
Crackers - Trio,2,227
"Crab - Dungeness, Whole",49,228
Orange Roughy 4/6 Oz,91,229
"Crab - Back Fin Meat, Canned",85,230
Irish Cream - Baileys,20,231
"Beef - Outside, Round",25,232
Grapes - Green,85,233
Jagermeister,20,234
Appetizer - Chicken Satay,40,235
Chicken - Soup Base,11,236
Silicone Paper 16.5x24,23,237
Noodles - Steamed Chow Mein,62,238
Sugar - Palm,71,239
Compound - Mocha,51,240
Food Colouring - Green,47,241
"Bread - Dark Rye, Loaf",34,242
Cheese - Sheep Milk,2,243
Oyster - In Shell,36,244
"Soup - Campbells, Spinach Crm",27,245
"Sauce - Apple, Unsweetened",72,246
Bread - Olive Dinner Roll,90,247
Persimmons,84,248
Initation Crab Meat,94,249
Bread - Rye,59,250
Mix Pina Colada,85,251
"Mushroom - Porcini, Dry",15,252
Versatainer Nc - 888,39,253
Cake - Cake Sheet Macaroon,55,254
Butter Ripple - Phillips,11,255
Chutney Sauce,25,256
Pur Source,19,257
Water - Perrier,56,258
Flower - Commercial Bronze,5,259
Beer - Heinekin,30,260
"Juice - Tomato, 10 Oz",65,261
Sping Loaded Cup Dispenser,53,262
Sole - Fillet,52,263
Sambuca Cream,58,264
Pepper - Red Bell,79,265
Eggplant - Regular,85,266
Wine - Lamancha Do Crianza,91,267
Beef - Top Sirloin - Aaa,3,268
Veal - Nuckle,94,269
Bread Bowl Plain,60,270
"Bread - Roll, Whole Wheat",72,271
Cheese - Shred Cheddar / Mozza,72,272
Cheese - St. Andre,39,273
Dip - Tapenade,51,274
Sauce - Soy Low Sodium - 3.87l,91,275
Fudge - Cream Fudge,3,276
Kiwano,35,277
"Pepper - Paprika, Spanish",60,278
Longos - Lasagna Beef,12,279
Quiche Assorted,90,280
"Turkey - Whole, Fresh",49,281
Paper - Brown Paper Mini Cups,33,282
Paper Towel Touchless,89,283
Octopus,42,284
Soap - Mr.clean Floor Soap,79,285
"Chicken - Thigh, Bone In",33,286
Pepper - Green,66,287
Wine - Carmenere Casillero Del,66,288
Oven Mitts 17 Inch,55,289
Chicken - Ground,90,290
"Tortillas - Flour, 10",43,291
Avocado,90,292
Pork - Back Ribs,78,293
Tea Leaves - Oolong,18,294
Buffalo - Tenderloin,53,295
Loquat,18,296
Zucchini - Green,89,297
Longos - Grilled Salmon With Bbq,52,298
Plaintain,40,299
Yogurt - Plain,26,300
Pepper - Cayenne,61,301
Pepper - Green,72,302
Cheese - Swiss Sliced,44,303
Papayas,32,304
Aspic - Clear,11,305
Croissants Thaw And Serve,31,306
Broom - Push,54,307
Wine - Soave Folonari,55,308
Wine - Mondavi Coastal Private,97,309
Pomegranates,50,310
Lamb Rack Frenched Australian,46,311
Flour - Fast / Rapid,14,312
Coriander - Seed,44,313
"Soup - Campbells, Cream Of",4,314
Bag - Regular Kraft 20 Lb,3,315
"Tea - Darjeeling, Azzura",16,316
"Bar Mix - Pina Colada, 355 Ml",80,317
Tea - Vanilla Chai,54,318
Water - Perrier,12,319
Cleaner - Bleach,72,320
Pie Shell - 5,10,321
Bacardi Breezer - Tropical,47,322
Chocolate - Mi - Amere Semi,37,323
Wine - Champagne Brut Veuve,82,324
"Soup - Campbells, Beef Barley",12,325
Beer - Original Organic Lager,56,326
"Tortillas - Flour, 10",95,327
"Pasta - Fettuccine, Egg, Fresh",13,328
Chef Hat 20cm,38,329
Soup - Campbells Asian Noodle,18,330
Yeast Dry - Fermipan,57,331
Chicken - Whole Roasting,67,332
Pork - Smoked Kassler,14,333
Table Cloth 54x72 White,99,334
Brandy Apricot,17,335
Tart - Butter Plain Squares,77,336
Tia Maria,90,337
Dill Weed - Dry,51,338
Heavy Duty Dust Pan,89,339
"Pork - Bacon, Sliced",8,340
"Halibut - Whole, Fresh",64,341
Dried Apple,5,342
Lidsoupcont Rp12dn,72,343
Buffalo - Striploin,31,344
Tarragon - Fresh,20,345
Soup - Campbells Bean Medley,18,346
Tofu - Firm,98,347
Longos - Chicken Curried,11,348
Cookies - Assorted,33,349
Mushroom - Lg - Cello,30,350
Cheese - Parmesan Cubes,90,351
"Vodka - Hot, Lnferno",5,352
Ham - Proscuitto,57,353
Neckerchief Blck,48,354
Cod - Black Whole Fillet,19,355
Juice - Orange,47,356
"Wine - Red, Cabernet Merlot",19,357
Pastry - Baked Scones - Mini,93,358
Sauce - Plum,49,359
Ice Cream Bar - Hagen Daz,19,360
Apple - Custard,49,361
Tomato Puree,47,362
Langers - Ruby Red Grapfruit,60,363
Tamarillo,25,364
Sprouts - Alfalfa,34,365
Isomalt,16,366
Water - San Pellegrino,13,367
Peppercorns - Green,74,368
Olives - Kalamata,72,369
Wine - Cotes Du Rhone,57,370
Pastry - Apple Muffins - Mini,45,371
Bread Fig And Almond,68,372
Scallops - Live In Shell,12,373
Grouper - Fresh,11,374
Vinegar - Sherry,10,375
"Garlic - Primerba, Paste",61,376
French Pastries,46,377
Sprouts - Onion,32,378
Beer - Labatt Blue,73,379
Milk - 2% 250 Ml,75,380
Bols Melon Liqueur,53,381
Towels - Paper / Kraft,35,382
Cheese - Parmesan Cubes,79,383
Onions - Spanish,13,384
Wine - Valpolicella Masi,95,385
Wine - Stoneliegh Sauvignon,98,386
Carbonated Water - Peach,62,387
Cookies Almond Hazelnut,5,388
Pepper - Cayenne,41,389
